measured_paint_id,measured_name,brand,best_db_paint_id,best_db_name,score,resolved_db_paint_id
vallejo-model-copper,Copper,Vallejo,vallejo-true-metallic-ancient-copper,Ancient Copper,0.600,
vallejo-model-middle-stone,Middle Stone,Vallejo,vallejo-game-color-dark-flesh-tone,Dark Flesh Tone,0.593,
vallejo-model-english-uniform,English Uniform,Vallejo,vallejo-model-color-olive-green-uniform,Olive Green Uniform,0.588,
vallejo-model-brass,Brass,Vallejo,vallejo-game-color-brassy-brass,Brassy Brass,0.588,
vallejo-model-beige,Beige,Vallejo,vallejo-model-wash-blue-grey,Blue Grey,0.571,
vallejo-metal-chrome,Chrome,Vallejo,vallejo-game-color-charcoal,Charcoal,0.571,
vallejo-model-azure,Azure,Vallejo,vallejo-model-color-purple,Purple,0.545,
vallejo-metal-jet-exhaust,Jet Exhaust,Vallejo,vallejo-model-wash-desert-dust,Desert Dust,0.545,
vallejo-model-gold,Gold,Vallejo,vallejo-game-color-gold-yellow,Gold Yellow,0.533,
vallejo-metal-gold,Gold,Vallejo,vallejo-game-color-gold-yellow,Gold Yellow,0.533,
vallejo-model-new-wood,New Wood,Vallejo,vallejo-true-metallic-arcane-gold,Arcane Gold,0.526,
vallejo-model-old-wood,Old Wood,Vallejo,vallejo-game-color-gold-yellow,Gold Yellow,0.526,
vallejo-metal-aluminium,Aluminium,Vallejo,vallejo-game-color-aquamarine,Aquamarine,0.526,
vallejo-model-iraqi-sand,Iraqi Sand,Vallejo,vallejo-model-color-pale-sand-ice,Pale Sand Ice,0.522,
vallejo-game-hexed-lichen,Hexed Lichen,Vallejo,vallejo-game-color-hammered-copper,Hammered Copper,0.519,
vallejo-model-oily-steel,Oily Steel,Vallejo,vallejo-model-color-military-green-pastel,Military Green Pastel,0.516,
vallejo-model-buff,Buff,Vallejo,vallejo-game-color-blue,Blue,0.500,
vallejo-model-burnt-umber,Burnt Umber,Vallejo,vallejo-game-color-bright-bronze,Bright Bronze,0.500,
vallejo-metal-white-aluminium,White Aluminium,Vallejo,vallejo-game-color-white,White,0.500,
vallejo-metal-dull-aluminium,Dull Aluminium,Vallejo,vallejo-model-color-andrea-blue-medium,Andrea Blue Medium,0.500,
vallejo-metal-magnesium,Magnesium,Vallejo,vallejo-game-color-magenta,Magenta,0.500,
vallejo-metal-engine-manifold,Engine Manifold,Vallejo,vallejo-game-color-chainmail,Chainmail,0.500,
vallejo-model-us-field-drab,US Field Drab,Vallejo,vallejo-model-color-ger-fieldgrey-wwiigerman,Ger. Fieldgrey WWIIGerman,0.486,
vallejo-metal-semi-matte-alum,Semi Matte Alum.,Vallejo,vallejo-model-color-basic-skin-tone-salmon,Basic Skin Tone Salmon,0.486,
vallejo-metal-exhaust-manifold,Exhaust Manifold,Vallejo,vallejo-game-color-chainmail,Chainmail,0.480,
